datetime;make;model;year;engine;mileage;price;fuel_type;new
04/09/2021;Renault;Trafic;2007;2.0;224.0;7.1;D;true
06/11/2018;Audi;Q5;2010;3.0;311.0;14.9;D;true
1/22/2020;Renault;Laguna;2009;1.5;160.0;4.9;D;false
6/13/2021;Seat;Toledo;2007;1.9;75.0;5.4;D;true
8/25/2017;Ford;Transit;1998;2.5;154.0;1.2;D;false
11/08/2021;Toyota;Corolla;2005;1.4;264.0;2.95;P;true
7/31/2021;Peugeot;Partner;2004;1.4;244.0;1.9;P;false
5/26/2020;Volkswagen;Golf3;1995;1.6;304.0;890;P;false
7/17/2021;Renault;Master;2000;2.8;85.0;1.899;D;true
7/20/2017;Volkswagen;Golf2;1991;1.6;227.0;545;P;true
9/20/2021;Mercedes;C;2002;2.2;347.0;2.4;D;true
6/29/2022;Mitsubishi;Pajero;2002;3.2;279.0;4;D;true
5/19/2022;Nissan;X-Trail;2005;2.2;300.0;3.65;D;true
3/25/2021;Mitsubishi;Carisma;2000;1.8;228.0;880;P;false
05/06/2022;Volvo;S40;2001;1.9;310.0;1.75;D;true
2/21/2018;Nissan;Qashqai;2012;2.0;68.0;11.5;P;false
8/23/2017;Bmw;5;2000;2.5;280.0;2;D;false
9/24/2021;Volkswagen;Passat(B5);1997;1.9;275.0;1.25;D;false
8/21/2019;Mercedes;ML;2003;2.7;223.0;5.5;D;false
2/14/2022;Bmw;3;2007;2.0;250.0;8.5;P;false
1/24/2018;Toyota;RAV4;2012;2.0;84.0;14;P;true
12/08/2021;Opel;Signum;2005;1.9;300.0;4;D;true
12/10/2019;Saab;09-may;1999;2.3;317.0;1.3;P;false
12/26/2019;Volvo;V40;2001;1.9;398.0;2.199;D;false
01/04/2022;Skoda;Octavia;2014;2.0;136.0;14.5;D;true
08/10/2021;Skoda;Octavia;2007;1.6;49.0;3.95;P;false
10/02/2019;Volvo;XC90;2004;2.4;262.0;7;D;true
06/05/2018;Volvo;S40;2001;1.9;287.0;1.75;D;false
9/24/2021;Volvo;V40;2000;1.9;365.0;1.2;D;false
6/24/2019;Alfaromeo;147;2006;1.8;150.0;1.8;D;true
07/12/2021;D0B8D0B6;412;1987;1.5;37.0;140;P;true
07/02/2018;Peugeot;307;2006;1.6;189.0;3.45;D;false
10/04/2022;Bmw;3;2006;1.8;182.0;6.5;P;false
9/17/2017;Renault;Trafic;2010;2.0;162.0;8.99;D;false
10/19/2018;Opel;Zafira;2004;2.2;198.0;2.55;D;true
04/01/2021;Volkswagen;Golf3;1997;1.9;291.0;900;D;true
7/28/2019;Ford;Mondeo;2001;2.0;210.0;1.6;D;false
